epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,176.374,0.75049,0.4378,0.98297,1,0.9686,0.99405,0.82895,0.73372,0.38317,0.91921,0.00108615,0.00108615,0.00108615
62,179.176,0.75872,0.43102,0.98941,0.98608,1,0.995,0.82927,0.6923,0.35935,0.89721,0.00107092,0.00107092,0.00107092
63,182.017,0.75504,0.43794,0.9892,0.97553,0.99685,0.99451,0.80971,0.80095,0.39041,0.94253,0.00105569,0.00105569,0.00105569
64,184.818,0.75919,0.42773,0.98349,0.99721,1,0.995,0.84256,0.68251,0.34984,0.89187,0.00104046,0.00104046,0.00104046
65,187.662,0.75644,0.43935,1.00034,0.99774,1,0.995,0.83867,0.66846,0.34075,0.89763,0.00102523,0.00102523,0.00102523
66,190.452,0.74786,0.44441,0.98544,1,0.99839,0.995,0.84152,0.69012,0.3644,0.89779,0.00101,0.00101,0.00101
67,193.253,0.74658,0.42363,0.97866,0.99505,1,0.995,0.82448,0.74232,0.35412,0.90198,0.000994769,0.000994769,0.000994769
68,196.051,0.73513,0.43002,0.98279,0.99216,1,0.995,0.82833,0.67124,0.32651,0.88967,0.000979538,0.000979538,0.000979538
69,198.814,0.72199,0.40483,0.96973,0.99835,1,0.995,0.83636,0.68738,0.31991,0.88541,0.000964308,0.000964308,0.000964308
70,201.615,0.74656,0.42107,0.98355,0.99839,1,0.995,0.83567,0.69256,0.34005,0.90095,0.000949077,0.000949077,0.000949077
71,204.405,0.72857,0.42872,0.97527,0.97652,1,0.995,0.82374,0.77149,0.37694,0.94177,0.000933846,0.000933846,0.000933846
72,207.235,0.72594,0.40918,0.97616,0.99806,1,0.995,0.83198,0.68811,0.32381,0.89242,0.000918615,0.000918615,0.000918615
73,210.019,0.74776,0.40784,0.98254,0.99829,1,0.995,0.84156,0.65768,0.31582,0.87869,0.000903385,0.000903385,0.000903385
74,212.831,0.70654,0.40341,0.95889,0.99838,1,0.995,0.86246,0.62291,0.30366,0.88205,0.000888154,0.000888154,0.000888154
75,215.634,0.70963,0.39118,0.96448,0.99728,1,0.995,0.8521,0.65722,0.31406,0.88689,0.000872923,0.000872923,0.000872923
76,218.508,0.74406,0.39455,0.9713,0.99844,1,0.995,0.84773,0.73465,0.3483,0.91215,0.000857692,0.000857692,0.000857692
77,221.381,0.73631,0.40096,0.97567,0.99816,1,0.995,0.85704,0.69345,0.32637,0.89326,0.000842462,0.000842462,0.000842462
78,224.225,0.68286,0.37846,0.94444,0.99732,1,0.995,0.87847,0.61414,0.30756,0.86481,0.000827231,0.000827231,0.000827231
79,227.003,0.68605,0.3874,0.95763,0.97543,1,0.995,0.86946,0.64889,0.32033,0.87754,0.000812,0.000812,0.000812
80,229.798,0.68249,0.39533,0.97209,0.99837,1,0.995,0.83919,0.65255,0.32109,0.88213,0.000796769,0.000796769,0.000796769
81,232.589,0.72281,0.40095,0.97363,0.99798,1,0.995,0.84944,0.63068,0.29653,0.8695,0.000781538,0.000781538,0.000781538
82,235.398,0.68664,0.39622,0.95579,0.99957,1,0.995,0.83171,0.70349,0.32972,0.90206,0.000766308,0.000766308,0.000766308
83,238.203,0.67051,0.38321,0.94788,0.99703,1,0.995,0.8514,0.66102,0.31339,0.88569,0.000751077,0.000751077,0.000751077
84,241.028,0.6585,0.37216,0.93272,0.99791,1,0.995,0.85315,0.67748,0.32119,0.89223,0.000735846,0.000735846,0.000735846
85,243.836,0.67511,0.3778,0.96261,0.99695,1,0.995,0.87795,0.62644,0.30601,0.87469,0.000720615,0.000720615,0.000720615
86,246.631,0.64883,0.37809,0.94539,0.99851,1,0.995,0.85458,0.69494,0.31558,0.89552,0.000705385,0.000705385,0.000705385
87,249.452,0.67703,0.38587,0.95013,0.99837,1,0.995,0.85051,0.69198,0.31349,0.88722,0.000690154,0.000690154,0.000690154
88,252.282,0.66185,0.37022,0.94738,1,0.9995,0.995,0.86177,0.66437,0.32041,0.87589,0.000674923,0.000674923,0.000674923
89,255.242,0.67008,0.37826,0.95369,0.99844,1,0.995,0.85486,0.65631,0.30659,0.87929,0.000659692,0.000659692,0.000659692
90,258.081,0.64189,0.36638,0.93077,0.99753,1,0.995,0.8235,0.71706,0.33883,0.90321,0.000644462,0.000644462,0.000644462
91,260.985,0.62286,0.36413,0.93275,0.97483,1,0.995,0.85407,0.68135,0.31754,0.88513,0.000629231,0.000629231,0.000629231
92,263.992,0.62564,0.35862,0.93121,0.99842,1,0.995,0.82752,0.74104,0.32783,0.90602,0.000614,0.000614,0.000614
93,266.807,0.68529,0.37565,0.95225,0.99848,1,0.995,0.82547,0.7204,0.31294,0.90142,0.000598769,0.000598769,0.000598769
94,269.622,0.63897,0.36183,0.93547,0.99757,1,0.995,0.85026,0.69472,0.30323,0.90301,0.000583538,0.000583538,0.000583538
95,272.388,0.62764,0.36082,0.93369,0.9972,1,0.995,0.84405,0.66626,0.31109,0.88061,0.000568308,0.000568308,0.000568308
96,275.208,0.63511,0.35936,0.92796,0.99801,1,0.995,0.85151,0.65344,0.28806,0.88093,0.000553077,0.000553077,0.000553077
97,278.003,0.63956,0.35633,0.92603,0.99533,1,0.995,0.83099,0.72913,0.3106,0.91557,0.000537846,0.000537846,0.000537846
98,280.816,0.63605,0.36109,0.93563,0.99701,1,0.995,0.83437,0.72852,0.31521,0.91205,0.000522615,0.000522615,0.000522615
99,283.614,0.61428,0.3568,0.93552,0.99746,1,0.995,0.83734,0.7059,0.31196,0.91502,0.000507385,0.000507385,0.000507385
100,286.449,0.64398,0.36041,0.93667,0.99777,1,0.995,0.85112,0.69802,0.31324,0.89281,0.000492154,0.000492154,0.000492154
