epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,196.29,0.66206,0.41998,1.03788,0.9165,0.97998,0.96262,0.812,0.62141,0.42695,1.02281,0.000933846,0.000933846,0.000933846
72,198.929,0.63591,0.40129,1.03956,0.93126,0.98214,0.97422,0.81766,0.64315,0.40648,1.01533,0.000918615,0.000918615,0.000918615
73,201.565,0.64469,0.41209,1.05339,0.89912,0.97321,0.96543,0.82509,0.67288,0.46731,1.03664,0.000903385,0.000903385,0.000903385
74,204.214,0.62143,0.39571,1.03642,0.9222,0.95249,0.94357,0.78424,0.70418,0.43105,1.05917,0.000888154,0.000888154,0.000888154
75,206.82,0.62591,0.39236,1.03784,0.92359,0.97138,0.96936,0.84534,0.59796,0.38448,0.99534,0.000872923,0.000872923,0.000872923
76,209.465,0.62181,0.38858,1.03819,0.91619,0.99107,0.96934,0.83871,0.58659,0.37799,0.97831,0.000857692,0.000857692,0.000857692
77,212.149,0.64866,0.39588,1.06519,0.92168,0.96429,0.94287,0.80893,0.62812,0.39767,1.00545,0.000842462,0.000842462,0.000842462
78,214.755,0.60433,0.38327,1.02277,0.92498,0.99079,0.96315,0.83769,0.62245,0.37055,1.0173,0.000827231,0.000827231,0.000827231
79,217.385,0.64459,0.38711,1.04764,0.9383,0.98214,0.97437,0.82524,0.67299,0.3905,1.036,0.000812,0.000812,0.000812
80,220.027,0.61709,0.38755,1.03034,0.92294,0.98214,0.96775,0.83511,0.60603,0.37334,0.96051,0.000796769,0.000796769,0.000796769
81,222.671,0.62638,0.39551,1.03682,0.87107,0.99107,0.94745,0.80452,0.65571,0.42913,1.00436,0.000781538,0.000781538,0.000781538
82,225.294,0.59718,0.36922,1.02197,0.91678,0.99107,0.9682,0.84106,0.59584,0.38679,0.98333,0.000766308,0.000766308,0.000766308
83,227.934,0.59943,0.3692,1.02841,0.93335,0.97321,0.97567,0.83647,0.62482,0.3832,1.02786,0.000751077,0.000751077,0.000751077
84,230.593,0.60406,0.37702,1.01798,0.9237,0.99107,0.97864,0.83973,0.62575,0.36216,0.99827,0.000735846,0.000735846,0.000735846
85,233.22,0.58648,0.36873,1.01199,0.94856,1,0.97716,0.83078,0.63897,0.34088,0.99123,0.000720615,0.000720615,0.000720615
86,235.992,0.5907,0.36136,1.02096,0.93274,0.99059,0.97245,0.83904,0.62324,0.36727,0.98649,0.000705385,0.000705385,0.000705385
87,238.606,0.59055,0.36191,1.01641,0.91761,0.99439,0.9711,0.84837,0.58169,0.35806,0.97401,0.000690154,0.000690154,0.000690154
88,241.268,0.57586,0.35746,1.01324,0.94839,0.99107,0.97543,0.85659,0.5794,0.33598,0.97077,0.000674923,0.000674923,0.000674923
89,243.951,0.59745,0.37222,1.01781,0.93167,0.97393,0.97233,0.83832,0.61763,0.3527,1.00023,0.000659692,0.000659692,0.000659692
90,246.583,0.5693,0.35545,1.00093,0.92901,0.97321,0.96,0.84143,0.56781,0.36373,0.96659,0.000644462,0.000644462,0.000644462
91,249.247,0.57333,0.36227,1.0058,0.95329,0.95536,0.97105,0.83875,0.6059,0.35714,0.99692,0.000629231,0.000629231,0.000629231
92,251.907,0.58315,0.35741,1.00767,0.94583,0.94643,0.97024,0.84096,0.62146,0.35003,0.99655,0.000614,0.000614,0.000614
93,254.56,0.59107,0.36366,1.00811,0.93834,0.97321,0.96947,0.83462,0.63352,0.37036,1.00809,0.000598769,0.000598769,0.000598769
94,257.184,0.57536,0.35333,1.00754,0.93999,0.97898,0.96414,0.83932,0.59849,0.37704,0.98153,0.000583538,0.000583538,0.000583538
95,259.848,0.55472,0.36916,0.9962,0.95528,0.99107,0.97755,0.85009,0.59932,0.34221,0.99021,0.000568308,0.000568308,0.000568308
96,262.566,0.57416,0.35714,1.01467,0.94907,0.99828,0.98084,0.84935,0.63434,0.34364,1.01969,0.000553077,0.000553077,0.000553077
